"Carrier","Year","(Intercept)","ElaspedTime"
"DL",2007,6.7814035339202,3.66421268903706
"DL",2008,-1.91292920219888,3.78896744577616
"DL",2009,-0.636004046176107,3.46300709984367
"DL",2010,2.06457362410293,3.53107905536414
"DL",2011,-2.93915460039188,3.63517448188851
"DL",2012,11.4246494771453,3.64264487666507
"DL",2013,1.4923478277704,3.76814124194412
"DL",2014,-2.39772262350268,3.86637442642207
"DL",2015,-1.59751109370816,3.95598067131965
"EA",1987,1.68608214076364,2.46341188820797
"EA",1988,2.88721020868337,2.4721898388015
"EA",1989,2.20136722942566,2.45649011039314
"EA",1990,-0.210045743634327,2.48292509358428
"EV",2003,19.310207527304,2.35046385978837
"EV",2004,-2.78401359437923,2.59045301341118
"EV",2005,15.1241731845912,2.53540083001593
"EV",2006,-3.65418161425067,2.75860643632423
